# coding' utf-8
# 用户词库
# 与系统词条重码时居后，如想居前，请把词条放到flypy_top.txt文件内
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 系统次选词放在flypy_sys.txt文件内，可修改删除
# 用户词库，下行开始添加，编码格式见上，部署后生效

哈希	haxi
链表	lmbn
也得	yede
南昌大学	nidx
稳态	wftd
汉堡王	hbwh
闰土	rytu
我想	woxl
我得	wode
terminal	term
不清	buqk
# 日语码表 复制的别人的，等后续熟悉日语了我再制作优化方案，可以像目前音形的方案一样设置四码上屏，然后片假名可以通过符号来区分，后续再增加日语汉字的支持
ぁ	xa;
あ	a;
ぃ	xi;
い	i;
ぅ	xu;
う	u;
ぇ	xe;
え	e;
ぉ	xo;
お	o;
か	ka;
が	ga;
き	ki;
ぎ	gi;
く	ku;
ぐ	gu;
け	ke;
げ	ge;
こ	ko;
ご	go;
さ	sa;
ざ	za;
し	shi;
じ	ji;
す	su;
ず	zu;
せ	se;
ぜ	ze;
そ	so;
ぞ	zo;
た	ta;
だ	da;
ち	chi;
ぢ	di;
っ	xtu;
つ	tsu;
づ	du;
て	te;
で	de;
と	to;
ど	do;
な	na;
に	ni;
ぬ	nu;
ね	ne;
の	no;
は	ha;
ば	ba;
ぱ	pa;
ひ	hi;
び	bi;
ぴ	pi;
ふ	fu;
ぶ	bu;
ぷ	pu;
へ	he;
べ	be;
ぺ	pe;
ほ	ho;
ぼ	bo;
ぽ	po;
ま	ma;
み	mi;
む	mu;
め	me;
も	mo;
ゃ	xya;
や	ya;
ゅ	xyu;
ゆ	yu;
ょ	xyo;
よ	yo;
ら	ra;
り	ri;
る	ru;
れ	re;
ろ	ro;
ゎ	xwa;
わ	wa;
ゐ	wi;
ゑ	we;
を	wo;
ん	n;
ゔ	vu;
ゕ	xka;
ゖ	xke;

ァ	xap;
ア	ap;
ィ	xip;
イ	ip;
ゥ	xup;
ウ	up;
ェ	xep;
エ	ep;
ォ	xop;
オ	op;
カ	kap;
ガ	gap;
キ	kip;
ギ	gip;
ク	kup;
グ	gup;
ケ	kep;
ゲ	gep;
コ	kop;
ゴ	gop;
サ	sap;
ザ	zap;
シ	ship
ジ	jip;
ス	sup;
ズ	zup;
セ	sep;
ゼ	zep;
ソ	sop;
ゾ	zop;
タ	tap;
ダ	dap;
チ	chip
ヂ	dip;
ッ	xtup
ツ	tsup
ヅ	dup;
テ	tep;
デ	dep;
ト	top;
ド	dop;
ナ	nap;
ニ	nip;
ヌ	nup;
ネ	nep;
ノ	nop;
ハ	hap;
バ	bap;
パ	pap;
ヒ	hip;
ビ	bip;
ピ	pip;
フ	fup;
ブ	bup;
プ	pup;
ヘ	hep;
ベ	bep;
ペ	pep;
ホ	hop;
ボ	bop;
ポ	pop;
マ	map;
ミ	mip;
ム	mup;
メ	mep;
モ	mop;
ャ	xyap
ヤ	yap;
ュ	xyup
ユ	yup;
ョ	xyop
ヨ	yop;
ラ	rap;
リ	rip;
ル	rup;
レ	rep;
ロ	rop;
ヮ	xwap
ワ	wap;
ヰ	wip;
ヱ	wep;
ヲ	wop;
ン	np;
ヴ	vup;
ヵ	xkap
ヶ	xkep
ヷ	vap;
ヸ	vip;
ヹ	vep;
ヺ	vop;
・	rydp
ー	ryap

# 连词
きょ	kyo;
きょう	kyou;

すい	sui;
かん	kan;
# 汉字


# kan汉字，一形可以区分出来的只用一形，区分不了的一个拿简码，其他拿全码
漢	kj;dn
澗	kj;do

感	kj;x

観	kj;ye
歓	kj;yr

簡	kj;vo
艦	kj;vm

完	kj;be
癇	kj;bo
疳	kj;bg

勘	kj;ql
刊	kj;gd

歓	kj;yr


燗	kj;ho
款	kj;ur

奸	kj;n

鑑	kj;j

稈	kj;h

坎	kj;t

間	kj;m
# kyou汉字 y= you
強	ky;
# kami汉字 m=ami
神	km;

# i汉字
医 ii;k
胃 ii;t


