# coding: utf-8
# 用户词库
# 与系统词条重码时居后，如想居前，请把词条放到flypy_top.txt文件内
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 系统次选词放在flypy_sys.txt文件内，可修改删除
# 用户词库，下行开始添加，编码格式见上，部署后生效
哈希	haxi
链表	lmbn
也得	yede
南昌大学	nidx
稳态	wftd
汉堡王	hbwh
闰土	rytu
我想	woxl
我得	wode
terminal	term

# 日语码表 复制的别人的，等后续熟悉日语了我再制作优化方案，可以像目前音形的方案一样设置四码上屏，然后片假名可以通过符号来区分，后续再增加日语汉字的支持
ぁ	xa'
あ	a'
ぃ	xi'
い	i'
ぅ	xu'
う	u'
ぇ	xe'
え	e'
ぉ	xo'
お	o'
か	ka'
が	ga'
き	ki'
ぎ	gi'
く	ku'
ぐ	gu'
け	ke'
げ	ge'
こ	ko'
ご	go'
さ	sa'
ざ	za'
し	shi'
じ	ji'
す	su'
ず	zu'
せ	se'
ぜ	ze'
そ	so'
ぞ	zo'
た	ta'
だ	da'
ち	chi'
ぢ	di'
っ	xtu'
つ	tsu'
づ	du'
て	te'
で	de'
と	to'
ど	do'
な	na'
に	ni'
ぬ	nu'
ね	ne'
の	no'
は	ha'
ば	ba'
ぱ	pa'
ひ	hi'
び	bi'
ぴ	pi'
ふ	fu'
ぶ	bu'
ぷ	pu'
へ	he'
べ	be'
ぺ	pe'
ほ	ho'
ぼ	bo'
ぽ	po'
ま	ma'
み	mi'
む	mu'
め	me'
も	mo'
ゃ	xya'
や	ya'
ゅ	xyu'
ゆ	yu'
ょ	xyo'
よ	yo'
ら	ra'
り	ri'
る	ru'
れ	re'
ろ	ro'
ゎ	xwa'
わ	wa'
ゐ	wi'
ゑ	we'
を	wo'
ん	n'
ゔ	vu'
ゕ	xka'
ゖ	xke'
ァ	xa'
ア	a'
ィ	xi'
イ	i'
ゥ	xu'
ウ	u'
ェ	xe'
エ	e'
ォ	xo'
オ	o'
カ	ka'
ガ	ga'
キ	ki'
ギ	gi'
ク	ku'
グ	gu'
ケ	ke'
ゲ	ge'
コ	ko'
ゴ	go'
サ	sa'
ザ	za'
シ	shi'
ジ	ji'
ス	su'
ズ	zu'
セ	se'
ゼ	ze'
ソ	so'
ゾ	zo'
タ	ta'
ダ	da'
チ	chi'
ヂ	di'
ッ	xtu'
ツ	tsu'
ヅ	du'
テ	te'
デ	de'
ト	to'
ド	do'
ナ	na'
ニ	ni'
ヌ	nu'
ネ	ne'
ノ	no'
ハ	ha'
バ	ba'
パ	pa'
ヒ	hi'
ビ	bi'
ピ	pi'
フ	fu'
ブ	bu'
プ	pu'
ヘ	he'
ベ	be'
ペ	pe'
ホ	ho'
ボ	bo'
ポ	po'
マ	ma'
ミ	mi'
ム	mu'
メ	me'
モ	mo'
ャ	xya'
ヤ	ya'
ュ	xyu'
ユ	yu'
ョ	xyo'
ヨ	yo'
ラ	ra'
リ	ri'
ル	ru'
レ	re'
ロ	ro'
ヮ	xwa'
ワ	wa'
ヰ	wi'
ヱ	we'
ヲ	wo'
ン	n'
ヴ	vu'
ヵ	xka'
ヶ	xke'
ヷ	va'
ヸ	vi'
ヹ	ve'
ヺ	vo'
・	ryd'
ー	rya'
